folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_OIL_TO_HVC,f_METHANE_TO_METHANOL,f_METHANOL_TO_HVC,f_GAS_TO_HVC,f_HABER_BOSCH,f_PYROLYSIS_TO_FUELS,f_SYN_METHANOLATION,f_PYROLYSIS_TO_LFO,f_AMMONIA_TO_H2,f_BIOMASS_TO_HVC,f_BIOMASS_TO_METHANOL
12_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.004,947.109488,25.845343,14.884711,12.995415,11.697805,12.523938,10.80724,10.462111,10.14335,9.190298,8.144624,6.805885
13_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.014,945.631525,24.807986,14.247925,12.709383,11.511366,11.970459,10.25806,9.816233,9.420857,8.486664,7.618854,6.301666
14_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.024,945.512791,28.415036,16.508817,13.730742,13.74581,13.396944,11.660994,10.875475,10.284472,9.539461,8.345939,6.73088
15_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.034,923.142419,21.518249,12.843505,11.628674,10.538591,10.717757,8.874518,8.578085,8.155279,7.478941,6.503404,5.427824
16_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.044,913.739958,23.349339,13.639486,12.267483,11.07154,11.457924,9.752292,9.447369,9.065827,8.205742,7.172016,5.931395
17_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.054,913.737425,27.315856,16.051267,13.49132,13.524594,12.871474,11.404569,10.7327,10.154792,9.376791,8.386416,6.842271
18_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.064,901.662863,27.193329,15.912137,13.498795,13.146016,13.132739,11.388568,10.770907,10.364155,9.480791,8.424381,6.942382
19_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.074,896.983672,27.220114,15.956277,13.416753,13.201095,13.02598,11.248537,10.636096,10.124002,9.376535,8.171385,6.68431
20_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.084,893.286801,30.406177,19.46167,15.137432,15.587325,15.193429,13.163331,12.191078,11.314686,10.873562,9.290089,7.324522
21_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.094,891.25311,25.864904,15.198539,13.051067,12.329811,12.580543,10.793738,10.31966,9.935801,9.095487,8.078478,6.697664
22_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.104,891.281715,27.588753,17.900792,14.83782,13.084799,14.67765,11.92706,12.025768,11.332486,10.652806,9.263483,7.391021
23_Techno_TS_DHN_SEASONAL_gwp1,TS_DHN_SEASONAL,1.114,891.237927,28.71175,17.466738,14.662848,14.294359,14.056567,12.031666,11.554688,10.730808,10.365776,8.773671,6.874614
