folder,techno_modifiee,gwp_constr,f_TS_DHN_SEASONAL,f_DHN_HP_ELEC,f_DHN_BOILER_GAS,f_DHN_BOILER_OIL,f_DHN_BOILER_WOOD,f_DHN_COGEN_WOOD,f_DHN_COGEN_GAS,f_DHN_SOLAR,f_DHN_COGEN_WASTE,f_DHN_COGEN_BIO_HYDROLYSIS,f_DHN_COGEN_WET_BIOMASS,f_DHN_DEEP_GEO
251_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.3939999999999717,170.938948,7.830773,9e-06,8e-06,4e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0
252_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.403999999999971,170.547214,7.831732,0.000199,0.000194,8.3e-05,2.2e-05,1.2e-05,1e-05,6e-06,5e-06,4e-06,0.0
253_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.413999999999971,170.486794,7.830829,2.2e-05,2.2e-05,9e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0,0.0
254_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.42399999999997,158.219207,7.839456,0.000269,0.000257,0.000115,3e-05,1.7e-05,1e-05,7e-06,6e-06,5e-06,0.0
255_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.4339999999999704,157.22067,7.838567,1.7e-05,1.6e-05,7e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
256_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.44399999999997,156.289157,7.839542,2.8e-05,2.6e-05,1.2e-05,4e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
257_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.45399999999997,156.280838,7.839356,5.2e-05,5.1e-05,2.1e-05,6e-06,3e-06,2e-06,1e-06,1e-06,1e-06,0.0
258_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.4639999999999698,154.898356,7.842123,0.000534,0.000492,0.000227,6e-05,3.3e-05,1.8e-05,1.5e-05,1.2e-05,9e-06,0.0
259_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.4739999999999696,154.410811,7.840777,2.5e-05,2.3e-05,1.1e-05,3e-06,2e-06,1e-06,1e-06,1e-06,1e-06,0.0
260_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.4839999999999693,152.751945,7.841019,9e-06,8e-06,4e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0
261_Techno_TS_DHN_SEASONAL_gwp3,TS_DHN_SEASONAL,3.493999999999969,152.748473,7.841118,1.7e-05,1.7e-05,7e-06,2e-06,1e-06,1e-06,0.0,0.0,0.0,0.0
262_Techno_TS_DHN_SEASONAL_gwp4,TS_DHN_SEASONAL,3.503999999999969,152.711514,7.841165,2.5e-05,2.4e-05,1.1e-05,3e-06,2e-06,1e-06,1e-06,1e-06,0.0,0.0
